sequence_name,collection_date,country,state,county,host,GenBank_Accession,SRA_Accession
NJ0715COE5,2015-07-13,United States, Colorado, Montezuma,Equine,OP971460,SAMN32115675
NJ0715COE4,2015-07-12,United States, Colorado, Larimer,Equine,OP971459,SAMN32115674
NJ0715COE1,2015-07-01,United States, Colorado, Montrose,Equine,OP971402,SAMN32118287
NJ0715COE2,2015-07-01,United States, Colorado, Montrose,Equine,OP971403,SAMN32118288
NJ0715COE3,2015-07-01,United States, Colorado, Montezuma,Equine,OP971458,SAMN32115673
NJ0615COE,2015-06-30,United States, Colorado, Montezuma,Equine,OP971457,SAMN32115672
NJ0515TXE,2015-05-19,United States, Texas, Reeves,Equine,OP971401,SAMN32118286
NJ0515AZE,2015-05-11,United States, Arizona, Maricopa,Equine,OP971400,SAMN32118285
NJ0415UTE,2015-04-28,United States, Utah, Kane,Equine,OP971399,SAMN32118284
NJ1114NEB,2014-11-21,United States, Nebraska, Wheeler,Bovine,OP971398,SAMN32118283
NJ1114COE2,2014-11-19,United States, Colorado, Fremont,Equine,OP971397,SAMN32118282
NJ1114COB,2014-11-05,United States, Colorado, Morgan,Bovine,OP971396,SAMN32118281
NJ1014COB7,2014-10-24,United States, Colorado, Larimer,Bovine,OP971386,SAMN32118271
NJ1014COB6,2014-10-21,United States, Colorado, Logan,Bovine,OP971385,SAMN32118270
NJ1014COB2,2014-10-20,United States, Colorado, Weld,Bovine,OP971381,SAMN32118266
NJ1014COB3,2014-10-20,United States, Colorado, Weld,Bovine,OP971382,SAMN32118267
NJ1014COB4,2014-10-20,United States, Colorado, Weld,Bovine,OP971383,SAMN32118268
NJ1014COB5,2014-10-20,United States, Colorado, Weld,Bovine,OP971384,SAMN32118269
NJ1014COE10,2014-10-19,United States, Colorado, Arapahoe,Equine,OP971395,SAMN32118280
NJ1014COE9,2014-10-17,United States, Colorado, Fremont,Equine,OP971394,SAMN32118279
NJ1014COB1,2014-10-07,United States, Colorado, Morgan,Bovine,OP971380,SAMN32118265
NJ1014COE7,2014-10-07,United States, Colorado, El Paso,Equine,OP971392,SAMN32118277
NJ1014COE8,2014-10-07,United States, Colorado, El Paso,Equine,OP971393,SAMN32118278
NJ1014COE3,2014-10-03,United States, Colorado, Pueblo,Equine,OP971388,SAMN32118273
NJ1014COE4,2014-10-03,United States, Colorado, Logan,Equine,OP971389,SAMN32118274
NJ1014COE5,2014-10-03,United States, Colorado, Logan,Equine,OP971390,SAMN32118275
NJ1014COE6,2014-10-03,United States, Colorado, Logan,Equine,OP971391,SAMN32118276
NJ1014COE1,2014-10-01,United States, Colorado, Fremont,Equine,OP971387,SAMN32118272
NJ0914COE13,2014-09-29,United States, Colorado, Pueblo,Equine,OP971378,SAMN32118263
NJ0914COE14,2014-09-29,United States, Colorado, Pueblo,Equine,OP971379,SAMN32118264
NJ0914COB1,2014-09-18,United States, Colorado, Weld,Bovine,OP971363,SAMN32117556
NJ0914COB2,2014-09-18,United States, Colorado, Weld,Bovine,OP971364,SAMN32117557
NJ0914COB3,2014-09-18,United States, Colorado, Weld,Bovine,OP971365,SAMN32117558
NJ0914COE11,2014-09-16,United States, Colorado, Pueblo,Equine,OP971376,SAMN32118261
NJ0914COE12,2014-09-16,United States, Colorado, Pueblo,Equine,OP971377,SAMN32118262
NJ0914COE10,2014-09-12,United States, Colorado, Larimer,Equine,OP971375,SAMN32118260
NJ0914COE8,2014-09-11,United States, Colorado, Pueblo,Equine,OP971373,SAMN32118258
NJ0914COE9,2014-09-11,United States, Colorado, Pueblo,Equine,OP971374,SAMN32118259
NJ0914COE7,2014-09-09,United States, Colorado, Larimer,Equine,OP971372,SAMN32118257
NJ0914COE5,2014-09-08,United States, Colorado, Pueblo,Equine,OP971370,SAMN32118255
NJ0914COE6,2014-09-08,United States, Colorado, Pueblo,Equine,OP971371,SAMN32118256
NJ0914COE1,2014-09-03,United States, Colorado, Douglas,Equine,OP971366,SAMN32117559
NJ0914COE2,2014-09-02,United States, Colorado, Logan,Equine,OP971367,SAMN32117560
NJ0914COE3,2014-09-02,United States, Colorado, Logan,Equine,OP971368,SAMN32117561
NJ0914COE4,2014-09-02,United States, Colorado, Larimer,Equine,OP971369,SAMN32117562
NJ0814COE53,2014-08-30,United States, Colorado, Larimer,Equine,OP971362,SAMN32117555
NJ0814COE51,2014-08-28,United States, Colorado, Arapahoe,Equine,OP971360,SAMN32117553
NJ0814COE52,2014-08-28,United States, Colorado, Arapahoe,Equine,OP971361,SAMN32117554
NJ0814COE48,2014-08-25,United States, Colorado, Morgan,Equine,OP971357,SAMN32117550
NJ0814COE49,2014-08-25,United States, Colorado, Morgan,Equine,OP971358,SAMN32117551
NJ0814COE50,2014-08-25,United States, Colorado, Weld,Equine,OP971359,SAMN32117552
NJ0814COE45,2014-08-22,United States, Colorado, Boulder,Equine,OP971354,SAMN32117547
NJ0814COE46,2014-08-22,United States, Colorado, Larimer,Equine,OP971355,SAMN32117548
NJ0814COE47,2014-08-22,United States, Colorado, Larimer,Equine,OP971356,SAMN32117549
NJ0814COE43,2014-08-20,United States, Colorado, Jefferson,Equine,OP971352,SAMN32117545
NJ0814COE44,2014-08-20,United States, Colorado, Jefferson,Equine,OP971353,SAMN32117546
NJ0814COE39,2014-08-19,United States, Colorado, Jefferson,Equine,OP971348,SAMN32117541
NJ0814COE40,2014-08-19,United States, Colorado, Jefferson,Equine,OP971349,SAMN32117542
NJ0814COE41,2014-08-19,United States, Colorado, Jefferson,Equine,OP971350,SAMN32117543
NJ0814COE42,2014-08-19,United States, Colorado, Jefferson,Equine,OP971351,SAMN32117544
NJ0814COE37,2014-08-18,United States, Colorado, Larimer,Equine,OP971346,SAMN32117539
NJ0814COE36,2014-08-16,United States, Colorado, Larimer,Equine,OP971345,SAMN32117538
NJ0814COE38,2014-08-16,United States, Colorado, Larimer,Equine,OP971347,SAMN32117540
NJ0814COE32,2014-08-15,United States, Colorado, Boulder,Equine,OP971341,SAMN32117534
NJ0814COE33,2014-08-15,United States, Colorado, Weld,Equine,OP971342,SAMN32117535
NJ0814COE34,2014-08-15,United States, Colorado, Larimer,Equine,OP971343,SAMN32117536
NJ0814COE35,2014-08-13,United States, Colorado, Jefferson,Equine,OP971344,SAMN32117537
NJ0814COE27,2014-08-12,United States, Colorado, Larimer,Equine,OP971336,SAMN32117529
NJ0814COE29,2014-08-12,United States, Colorado, Adams,Equine,OP971338,SAMN32117531
NJ0814COE30,2014-08-12,United States, Colorado, Larimer,Equine,OP971339,SAMN32117532
NJ0814COE31,2014-08-12,United States, Colorado, Larimer,Equine,OP971340,SAMN32117533
NJ0814COE24,2014-08-11,United States, Colorado, Adams,Equine,OP971333,SAMN32117526
NJ0814COE25,2014-08-11,United States, Colorado, Adams,Equine,OP971334,SAMN32117527
NJ0814COE26,2014-08-11,United States, Colorado, Larimer,Equine,OP971335,SAMN32117528
NJ0814COE23,2014-08-09,United States, Colorado, Adams,Equine,OP971332,SAMN32117454
